history_date,temperature,precipitation,humidity
20220906T1100,22.700245,0.0,76.56052
20220906T1200,22.560246,0.0,76.53916
20220906T1300,22.420246,0.0,75.84443
20220906T1400,22.950245,0.0,72.69359
20220906T1500,23.220245,0.0,70.83451
20220906T1600,23.230246,0.0,71.01594
20220906T1700,22.790245,0.0,73.637726
20220906T1800,22.400246,0.0,71.77165
20220906T1900,19.010244,0.0,87.35294
20220906T2000,18.620245,0.0,88.72312
20220906T2100,18.350245,0.0,90.647766
20220906T2200,18.900246,0.7,88.57612
20220906T2300,17.970245,1.4,92.61142
20220907T0000,17.900246,0.7,92.66679
20220907T0100,17.900246,0.1,93.6767
20220907T0200,18.030245,0.0,94.28056
20220907T0300,18.240246,0.0,93.03907
20220907T0400,17.860245,0.0,93.79434
20220907T0500,17.420246,0.1,94.73845
20220907T0600,17.690245,0.0,93.54766
20220907T0700,19.440245,0.0,88.84431
20220907T0800,20.920246,0.0,84.703
20220907T0900,22.410246,0.0,79.16282
20220907T1000,24.380245,0.0,69.28195
20220907T1100,25.240246,0.0,62.674736
20220907T1200,25.770245,0.0,58.751614
20220907T1300,25.960245,0.0,57.575573
20220907T1400,26.110245,0.0,54.11815
20220907T1500,25.500246,0.1,56.228783
20220907T1600,23.690245,0.4,65.97756
20220907T1700,22.070246,0.0,73.65582
20220907T1800,19.970245,0.2,84.12089
20220907T1900,18.500246,0.0,91.35284
20220907T2000,18.090246,0.0,92.44086
20220907T2100,17.590246,0.3,97.56069
20220907T2200,16.600245,0.9,90.35286
20220907T2300,16.410246,2.2,92.46693
20220908T0000,16.440247,2.3,93.007225
20220908T0100,16.380245,1.4,94.150696
20220908T0200,16.370245,1.0,94.45407
20220908T0300,16.540245,0.8,93.73431
20220908T0400,16.360247,0.8,94.39282
20220908T0500,16.040245,0.2,94.014175
20220908T0600,15.970245,0.0,92.561935
20220908T0700,16.750246,0.8,87.71381
20220908T0800,17.950245,0.0,79.76286
20220908T0900,18.950245,0.1,73.0185
20220908T1000,20.010244,0.0,68.16162
20220908T1100,21.220245,0.1,59.000244
20220908T1200,21.550245,0.0,54.697018
20220908T1300,22.210245,0.0,49.709637
20220908T1400,22.890245,0.0,45.509335
20220908T1500,23.010244,0.0,43.21854
20220908T1600,22.800245,0.0,42.753056
20220908T1700,21.810246,0.0,49.767376
20220908T1800,18.800245,0.0,62.31737
20220908T1900,16.950245,0.0,72.464775
20220908T2000,16.210245,0.0,76.57854
20220908T2100,15.640245,0.0,78.96101
20220908T2200,15.840245,0.2,79.14751
20220908T2300,15.920245,0.2,78.482
20220909T0000,15.660245,0.2,81.72436
20220909T0100,15.5602455,0.0,84.391304
20220909T0200,15.570246,0.0,86.183945
20220909T0300,15.800245,0.0,86.773056
20220909T0400,15.720245,0.0,86.93572
20220909T0500,15.540245,0.0,88.58338
20220909T0600,15.760245,0.0,88.65989
20220909T0700,16.870245,0.0,84.0449
20220909T0800,18.230246,0.2,73.561104
20220909T0900,18.950245,0.0,66.96935
20220909T1000,19.240246,0.0,62.336266
20220909T1100,20.360245,0.0,56.04757
20220909T1200,21.130245,0.0,51.582886
20220909T1300,21.360245,0.0,46.98027
20220909T1400,21.760244,0.0,45.315273
20220909T1500,21.240246,0.0,44.136753
20220909T1600,20.270245,0.0,49.985645
20220909T1700,19.150246,0.0,55.29064
20220909T1800,18.240246,0.0,59.337883
20220909T1900,17.350245,0.2,64.48332
20220909T2000,16.370245,0.0,68.87009
20220909T2100,15.950245,0.0,71.27173
20220909T2200,15.610246,0.3,80.8059
20220909T2300,15.200245,0.3,84.294556
20220910T0000,15.190246,0.1,84.85081
20220910T0100,15.010245,0.0,87.32497
20220910T0200,14.860246,0.2,89.166885
20220910T0300,14.8102455,0.3,92.133514
20220910T0400,15.170245,0.4,91.31704
20220910T0500,15.010245,0.2,91.24672
20220910T0600,15.040245,0.3,89.70922
20220910T0700,15.470245,0.2,86.96854
20220910T0800,15.850245,0.3,84.70145
20220910T0900,16.540245,0.1,81.30454
20220910T1000,17.290245,0.1,73.928535
20220910T1100,17.880245,0.0,70.70011
20220910T1200,18.370245,0.0,66.935776
20220910T1300,19.010244,0.0,62.283146
20220910T1400,18.900246,0.3,61.639645
20220910T1500,18.810246,0.3,63.531925
20220910T1600,18.220245,0.6,66.68287
20220910T1700,17.700245,0.1,68.81967
20220910T1800,16.920246,0.0,72.17169
20220910T1900,16.570246,0.2,74.983765
20220910T2000,16.180246,0.0,78.4694
20220910T2100,15.790245,0.0,81.31164
20220910T2200,14.930245,0.0,87.259964
20220910T2300,14.300245,0.0,89.94684
20220911T0000,14.040245,0.0,91.060814
20220911T0100,14.360246,0.0,90.06999
20220911T0200,14.550245,0.0,88.38151
20220911T0300,14.070246,0.0,91.42357
20220911T0400,13.8102455,0.0,92.436806
20220911T0500,13.660245,0.0,92.123245
